window_ms,n_sessions,n_mice,tau2,sigma2,ICC,ICC_lo,ICC_hi,ANOVA_ICC
200,23,6,0.3129936011905594,0.22442078945361763,0.5824064383824679,0.0007795047645721142,0.8547556294058823,0.5738734449922508
300,23,6,0.27254750476122697,0.18802853248142123,0.5917535493007836,0.002032494707887581,0.8581157464562819,0.5824673167136241
400,23,6,0.23740258516116775,0.16194532370266973,0.5944755935659927,0.0016841555817573572,0.8594590044405523,0.5848183482008856
500,23,6,0.20806700086103608,0.14144962707179298,0.5952992911714143,0.001601465197413112,0.8598639303388738,0.5852907067690856
