window_ms,n_sessions,n_mice,tau2,sigma2,ICC,ICC_lo,ICC_hi,ANOVA_ICC
200,23,6,0.2898051923009534,0.20404292977934227,0.5868306050859771,0.0025852177617333313,0.8565087933131575,0.5789605924697298
300,23,6,0.2518964076468552,0.1714715806918126,0.5949821776448386,0.001508808048080232,0.8597081236000115,0.5865286987691689
400,23,6,0.21834705808796986,0.14835861396107958,0.5954286359082125,0.0016159217174581426,0.8599274505776164,0.5869139458237531
500,23,6,0.19001090504039345,0.13003839662455893,0.5936926093946262,0.0018373442506094799,0.859073428072212,0.5852099786940282
